model,error_method,method,target,horizon,interval_score,dispersion,underprediction,overprediction,interval_score_50,interval_score_80,unweighted_interval_score,coverage_50,coverage_80,qucoverage_10,qucoverage_25,qucoverage_75,qucoverage_90
bvar_mix,absolute,rolling window,pcpi_pch,0,0.0875413826978379,0.0414753876760252,0.0120069148189098,0.0340590802029029,0.438523524791353,0.654518841978375,0.546521183384864,0.363636363636364,0.654545454545455,0.272727272727273,0.563636363636364,0.927272727272727,0.927272727272727
bvar_mix,absolute,rolling window,pcpi_pch,0.5,0.336217597802735,0.136934647877517,0.170488469130261,0.0287944807949573,1.65038040933691,2.59840093271241,2.12439067102466,0.363636363636364,0.618181818181818,0.0727272727272727,0.236363636363636,0.6,0.690909090909091
bvar_mix,absolute,rolling window,pcpi_pch,1,0.728610411622893,0.35800361751097,0.163793777114072,0.206813016997851,3.72135876180681,5.26881132794085,4.49508504487383,0.327272727272727,0.636363636363636,0.272727272727273,0.509090909090909,0.836363636363636,0.909090909090909
bvar_mix,absolute,rolling window,pcpi_pch,1.5,0.94334270891452,0.470372015883626,0.215442156226174,0.25752853680472,4.82681934762534,6.79980580922705,5.8133125784262,0.345454545454545,0.581818181818182,0.272727272727273,0.509090909090909,0.854545454545455,0.854545454545455
mean_ensemble,absolute,rolling window,ngdp_rpch,0,0.211811648125175,0.0868459363163184,0.124153615136412,0.000812096672444282,0.964321946349606,1.82542809662948,1.39487502148954,0.672727272727273,0.836363636363636,0,0.0181818181818182,0.690909090909091,0.836363636363636
mean_ensemble,absolute,rolling window,ngdp_rpch,0.5,0.48265885271962,0.205260855471778,0.165471016403858,0.111926980843984,2.21635120823547,4.11229903380372,3.16432512101959,0.545454545454545,0.890909090909091,0.0363636363636364,0.254545454545455,0.8,0.927272727272727
mean_ensemble,absolute,rolling window,ngdp_rpch,1,1.23360798451433,0.420009916051426,0.183651215099996,0.629946853362909,5.54702885096357,10.8045875628777,8.17580820692063,0.618181818181818,0.818181818181818,0.109090909090909,0.272727272727273,0.890909090909091,0.927272727272727
mean_ensemble,absolute,rolling window,ngdp_rpch,1.5,1.46987052526853,0.491578853028186,0.336149278996899,0.642142393243443,6.64030076118737,12.7966586024022,9.71847968179476,0.6,0.763636363636364,0.145454545454545,0.272727272727273,0.872727272727273,0.909090909090909
mean_ensemble,absolute,rolling window,pcpi_pch,0,0.0902338506762355,0.0503908110116218,0.00111257351675937,0.0387304661478543,0.449266532868141,0.681510681354357,0.565388607111249,0.436363636363636,0.727272727272727,0.254545454545455,0.527272727272727,0.963636363636364,0.981818181818182
mean_ensemble,absolute,rolling window,pcpi_pch,0.5,0.259644531724089,0.145699928106063,0.0948053085285741,0.0191392950894513,1.30651092988643,1.92661330976569,1.61656211982606,0.527272727272727,0.8,0.0363636363636364,0.218181818181818,0.745454545454546,0.836363636363636
mean_ensemble,absolute,rolling window,pcpi_pch,1,0.771668915311542,0.377897086610787,0.241909433039776,0.151862395660979,3.85783271847825,5.78879651003521,4.82331461425673,0.4,0.672727272727273,0.218181818181818,0.472727272727273,0.872727272727273,0.890909090909091
mean_ensemble,absolute,rolling window,pcpi_pch,1.5,0.938367253692952,0.536335682418034,0.248964441453914,0.153067129821004,4.84089055502638,6.66511868629309,5.75300462065974,0.418181818181818,0.690909090909091,0.2,0.436363636363636,0.854545454545455,0.890909090909091
