target_year,target,horizon,method,error_method,source,score
2016,pcpi_pch,0,rolling window,absolute,ar_annual-direct,0.317271010410198
2017,pcpi_pch,0,rolling window,absolute,ar_annual-direct,0.432205184544783
2018,pcpi_pch,0,rolling window,absolute,ar_annual-direct,0.282572998702779
2019,pcpi_pch,0,rolling window,absolute,ar_annual-direct,0.318372208889435
2020,pcpi_pch,0,rolling window,absolute,ar_annual-direct,0.618421163641742
2021,pcpi_pch,0,rolling window,absolute,ar_annual-direct,1.38011975592895
2022,pcpi_pch,0,rolling window,absolute,ar_annual-direct,5.02253167612533
2023,pcpi_pch,0,rolling window,absolute,ar_annual-direct,0.816688805555573
2014,pcpi_pch,0.5,rolling window,absolute,ar_annual-direct,0.81711903995582
2015,pcpi_pch,0.5,rolling window,absolute,ar_annual-direct,0.885211736394272
2016,pcpi_pch,0.5,rolling window,absolute,ar_annual-direct,0.317086939759745
2017,pcpi_pch,0.5,rolling window,absolute,ar_annual-direct,0.434441279509349
2018,pcpi_pch,0.5,rolling window,absolute,ar_annual-direct,0.282470306767425
2019,pcpi_pch,0.5,rolling window,absolute,ar_annual-direct,0.318359472219925
2020,pcpi_pch,0.5,rolling window,absolute,ar_annual-direct,0.618412303301632
2021,pcpi_pch,0.5,rolling window,absolute,ar_annual-direct,1.38011975592895
2022,pcpi_pch,0.5,rolling window,absolute,ar_annual-direct,5.02253167612533
2023,pcpi_pch,0.5,rolling window,absolute,ar_annual-direct,0.816688805555573
2014,pcpi_pch,1,rolling window,absolute,ar_annual-direct,1.09245324249105
2015,pcpi_pch,1,rolling window,absolute,ar_annual-direct,1.19767081579881
2016,pcpi_pch,1,rolling window,absolute,ar_annual-direct,0.74918675557668
2017,pcpi_pch,1,rolling window,absolute,ar_annual-direct,0.341653569052091
2018,pcpi_pch,1,rolling window,absolute,ar_annual-direct,0.414071622604402
2019,pcpi_pch,1,rolling window,absolute,ar_annual-direct,0.323159367442479
2020,pcpi_pch,1,rolling window,absolute,ar_annual-direct,0.814300502357643
2021,pcpi_pch,1,rolling window,absolute,ar_annual-direct,0.859463321185788
2022,pcpi_pch,1,rolling window,absolute,ar_annual-direct,5.91002961717235
2023,pcpi_pch,1,rolling window,absolute,ar_annual-direct,2.81493699112067
2014,pcpi_pch,1.5,rolling window,absolute,ar_annual-direct,1.08951247890087
2015,pcpi_pch,1.5,rolling window,absolute,ar_annual-direct,1.19768791084274
2016,pcpi_pch,1.5,rolling window,absolute,ar_annual-direct,0.749155587038037
2017,pcpi_pch,1.5,rolling window,absolute,ar_annual-direct,0.341636721333812
2018,pcpi_pch,1.5,rolling window,absolute,ar_annual-direct,0.415190107130807
2019,pcpi_pch,1.5,rolling window,absolute,ar_annual-direct,0.323538207650611
2020,pcpi_pch,1.5,rolling window,absolute,ar_annual-direct,0.814282275619426
2021,pcpi_pch,1.5,rolling window,absolute,ar_annual-direct,0.859463321185788
2022,pcpi_pch,1.5,rolling window,absolute,ar_annual-direct,5.91002961717235
2023,pcpi_pch,1.5,rolling window,absolute,ar_annual-direct,2.81493699112067
2013,ngdp_rpch,0,rolling window,absolute,ar_bic,0.23709698104504
2014,ngdp_rpch,0,rolling window,absolute,ar_bic,0.354499384824719
2015,ngdp_rpch,0,rolling window,absolute,ar_bic,0.287736035257547
2016,ngdp_rpch,0,rolling window,absolute,ar_bic,0.230962217690435
2017,ngdp_rpch,0,rolling window,absolute,ar_bic,0.256860780528635
2018,ngdp_rpch,0,rolling window,absolute,ar_bic,0.239856481965406
2019,ngdp_rpch,0,rolling window,absolute,ar_bic,0.264799005226633
2020,ngdp_rpch,0,rolling window,absolute,ar_bic,0.496485243542704
2021,ngdp_rpch,0,rolling window,absolute,ar_bic,0.927010414613607
2022,ngdp_rpch,0,rolling window,absolute,ar_bic,0.238977648193305
2023,ngdp_rpch,0,rolling window,absolute,ar_bic,0.177159393797035
2013,ngdp_rpch,0.5,rolling window,absolute,ar_bic,0.284605158244844
2014,ngdp_rpch,0.5,rolling window,absolute,ar_bic,0.72845570960578
2015,ngdp_rpch,0.5,rolling window,absolute,ar_bic,0.468787051622606
2016,ngdp_rpch,0.5,rolling window,absolute,ar_bic,0.360124672312586
2017,ngdp_rpch,0.5,rolling window,absolute,ar_bic,0.324372452288008
2018,ngdp_rpch,0.5,rolling window,absolute,ar_bic,0.408401473008062
2019,ngdp_rpch,0.5,rolling window,absolute,ar_bic,0.419964641739871
2020,ngdp_rpch,0.5,rolling window,absolute,ar_bic,3.28160343978811
2021,ngdp_rpch,0.5,rolling window,absolute,ar_bic,0.805955648019702
2022,ngdp_rpch,0.5,rolling window,absolute,ar_bic,0.432470698901155
2023,ngdp_rpch,0.5,rolling window,absolute,ar_bic,0.548517734848092
