target_year,target,horizon,method,error_method,source,score
2018,ngdp_rpch,0.5,rolling window,absolute,ar_annual-direct,0.651988628334226
2019,ngdp_rpch,0.5,rolling window,absolute,ar_annual-direct,0.644215347354514
2020,ngdp_rpch,0.5,rolling window,absolute,ar_annual-direct,6.04305950620151
2021,ngdp_rpch,0.5,rolling window,absolute,ar_annual-direct,6.6793665705343
2022,ngdp_rpch,0.5,rolling window,absolute,ar_annual-direct,1.73576715663612
2023,ngdp_rpch,0.5,rolling window,absolute,ar_annual-direct,0.920036968296962
2014,ngdp_rpch,1,rolling window,absolute,ar_annual-direct,0.764792612492964
2015,ngdp_rpch,1,rolling window,absolute,ar_annual-direct,0.750210633799923
2016,ngdp_rpch,1,rolling window,absolute,ar_annual-direct,0.71740380881484
2017,ngdp_rpch,1,rolling window,absolute,ar_annual-direct,0.752270519235845
2018,ngdp_rpch,1,rolling window,absolute,ar_annual-direct,0.68333577817714
2019,ngdp_rpch,1,rolling window,absolute,ar_annual-direct,0.676497615976208
2020,ngdp_rpch,1,rolling window,absolute,ar_annual-direct,6.05658802228965
2021,ngdp_rpch,1,rolling window,absolute,ar_annual-direct,4.43613167636763
2022,ngdp_rpch,1,rolling window,absolute,ar_annual-direct,1.8904376798535
2023,ngdp_rpch,1,rolling window,absolute,ar_annual-direct,0.936675479779016
2014,ngdp_rpch,1.5,rolling window,absolute,ar_annual-direct,0.764663025111845
2015,ngdp_rpch,1.5,rolling window,absolute,ar_annual-direct,0.750320288372416
2016,ngdp_rpch,1.5,rolling window,absolute,ar_annual-direct,0.717249839048049
2017,ngdp_rpch,1.5,rolling window,absolute,ar_annual-direct,0.753466716462688
2018,ngdp_rpch,1.5,rolling window,absolute,ar_annual-direct,0.683137647735739
2019,ngdp_rpch,1.5,rolling window,absolute,ar_annual-direct,0.675744531479926
2020,ngdp_rpch,1.5,rolling window,absolute,ar_annual-direct,6.05132326860355
2021,ngdp_rpch,1.5,rolling window,absolute,ar_annual-direct,4.43812821932318
2022,ngdp_rpch,1.5,rolling window,absolute,ar_annual-direct,1.89910189154113
2023,ngdp_rpch,1.5,rolling window,absolute,ar_annual-direct,0.938974439533968
2014,pcpi_pch,0,rolling window,absolute,ar_annual-direct,0.813775598425539
2015,pcpi_pch,0,rolling window,absolute,ar_annual-direct,0.805089942876615
2016,pcpi_pch,0,rolling window,absolute,ar_annual-direct,0.397419490432392
2017,pcpi_pch,0,rolling window,absolute,ar_annual-direct,0.450154550252334
2018,pcpi_pch,0,rolling window,absolute,ar_annual-direct,0.357422301298177
2019,pcpi_pch,0,rolling window,absolute,ar_annual-direct,0.393676896475605
2020,pcpi_pch,0,rolling window,absolute,ar_annual-direct,0.593441874237494
2021,pcpi_pch,0,rolling window,absolute,ar_annual-direct,1.20980815901282
2022,pcpi_pch,0,rolling window,absolute,ar_annual-direct,4.04694630629203
2023,pcpi_pch,0,rolling window,absolute,ar_annual-direct,0.701605245259218
2014,pcpi_pch,0.5,rolling window,absolute,ar_annual-direct,0.813828438121233
2015,pcpi_pch,0.5,rolling window,absolute,ar_annual-direct,0.805395633371345
2016,pcpi_pch,0.5,rolling window,absolute,ar_annual-direct,0.397280110043437
2017,pcpi_pch,0.5,rolling window,absolute,ar_annual-direct,0.452329187099024
2018,pcpi_pch,0.5,rolling window,absolute,ar_annual-direct,0.35745370357171
2019,pcpi_pch,0.5,rolling window,absolute,ar_annual-direct,0.393675430396742
2020,pcpi_pch,0.5,rolling window,absolute,ar_annual-direct,0.593441988218667
2021,pcpi_pch,0.5,rolling window,absolute,ar_annual-direct,1.20980815901282
2022,pcpi_pch,0.5,rolling window,absolute,ar_annual-direct,4.04694630629203
2023,pcpi_pch,0.5,rolling window,absolute,ar_annual-direct,0.701605245259218
2014,pcpi_pch,1,rolling window,absolute,ar_annual-direct,1.09063358061858
2015,pcpi_pch,1,rolling window,absolute,ar_annual-direct,1.09809264311682
